,Visible,Subjective,Action,Story,Meta,Irrelevant,Other,When,Where,How,Comment
209,1,0,0,0,0,0,0,0,0,0,nan
210,1,0,0,1,0,0,0,0,0,0,nan
211,1,0,0,0,0,0,0,0,0,0,nan
212,1,0,0,1,0,0,0,0,0,0,nan
213,0,1,0,0,0,0,0,0,0,0,nan
214,1,0,0,0,0,0,0,0,0,0,nan
215,1,0,0,1,0,0,0,0,0,0,nan
216,0,0,0,1,0,0,0,0,0,0,nan
217,1,0,0,0,0,0,0,0,0,0,nan
218,1,0,0,0,1,0,1,0,0,0,text 
219,1,0,0,0,0,0,0,0,0,0,nan
220,1,0,0,1,0,0,0,0,0,0,nan
221,1,0,0,1,0,0,0,0,0,0,nan
222,1,0,0,0,0,0,0,0,0,0,nan
223,0,0,0,1,0,0,0,0,0,0,nan
224,1,0,0,0,0,0,0,0,0,0,nan
225,0,1,0,0,0,0,0,0,0,0,nan
226,1,0,0,0,0,0,0,0,0,0,nan
227,0,1,0,0,0,0,0,0,0,0,nan
228,1,0,0,0,0,0,0,0,0,0,nan
229,0,0,0,1,0,0,0,0,0,0,nan
230,1,0,0,0,0,0,0,0,0,0,nan
231,0,0,0,1,0,0,0,0,0,0,nan
232,1,0,0,0,0,0,0,0,0,0,nan
233,1,0,0,0,0,0,0,0,0,0,nan
234,1,0,0,0,0,0,0,0,0,0,nan
235,1,0,0,1,0,0,0,0,0,0,nan
236,1,0,0,1,0,0,0,0,0,0,nan
237,1,0,0,1,0,0,0,0,0,0,nan
238,1,0,0,1,0,0,0,0,0,0,nan
239,1,0,0,0,0,0,0,0,0,0,nan
240,0,1,0,0,0,0,0,0,0,0,nan
241,1,0,0,0,0,0,0,0,0,0,nan
242,1,1,0,1,0,0,0,0,0,0,nan
243,0,0,0,1,0,0,0,0,0,0,nan
244,0,0,0,1,0,0,0,0,0,0,nan
245,1,0,0,0,0,0,0,0,0,0,nan
246,1,0,0,0,0,0,0,0,0,0,nan
247,1,0,0,0,0,0,0,0,0,0,nan
248,0,0,0,1,0,0,0,0,0,0,nan
249,0,0,0,1,0,0,0,0,0,0,nan
250,0,1,0,0,0,0,0,0,0,0,nan
251,1,0,0,0,0,0,0,0,0,0,nan
252,1,0,0,0,0,0,0,0,0,0,nan
253,1,0,0,0,0,0,0,0,0,0,nan
254,1,0,0,0,0,0,0,0,0,0,nan
255,0,1,0,0,0,0,0,0,0,0,nan
256,0,1,0,0,0,0,0,0,0,0,nan
257,1,0,0,1,0,0,0,0,0,0,nan
258,1,0,0,0,0,0,0,0,0,0,nan
259,1,0,0,0,0,0,0,0,0,0,nan
260,0,0,0,0,0,1,0,0,0,0,nan
261,1,1,0,0,0,0,0,0,0,0,nan
262,1,0,0,0,0,0,0,0,0,0,nan
263,0,0,0,1,0,0,0,0,0,0,nan
264,1,0,0,0,0,0,0,0,0,0,nan
265,0,0,0,0,0,1,0,0,0,0,nan
266,1,0,0,0,0,0,0,0,0,0,nan
267,0,0,0,1,0,0,0,0,0,0,nan
268,1,0,0,0,0,0,0,0,0,0,nan
269,1,0,0,1,0,0,0,0,0,0,nan
270,0,0,0,1,0,0,0,0,0,0,nan
271,1,0,0,0,0,0,0,0,0,0,nan
272,1,0,0,0,0,0,0,0,0,0,nan
273,1,0,0,1,0,0,0,0,0,0,nan
274,0,0,0,1,0,1,0,0,0,0,nan
275,1,0,0,0,0,0,0,0,0,0,nan
276,0,1,0,1,0,0,0,0,0,0,nan
277,0,1,0,1,0,0,0,0,0,0,nan
278,1,0,0,0,0,0,0,0,0,0,nan
279,1,0,0,0,0,0,0,0,0,0,nan
280,0,1,0,0,0,0,0,0,0,0,nan
281,1,0,0,0,0,0,1,0,0,0,"person should be river/canal, caption is gibberish"
282,1,0,0,1,0,0,0,0,0,0,nan
283,1,1,0,0,0,0,0,0,0,0,nan
284,1,0,0,1,0,0,0,0,0,0,nan
285,1,0,0,1,0,0,0,0,0,0,nan
286,1,0,0,1,0,0,0,0,0,0,nan
287,1,0,0,0,0,0,0,0,0,0,nan
288,1,0,0,0,0,0,0,0,0,0,nan
289,1,0,0,0,0,0,0,0,0,0,nan
290,1,0,0,0,0,0,0,0,0,0,nan
291,0,1,0,0,0,0,0,0,0,0,nan
292,0,0,0,1,0,0,0,0,0,0,nan
293,0,1,0,0,0,0,0,0,0,0,nan
294,1,0,0,0,0,0,0,0,0,0,nan
295,1,0,0,0,0,0,0,0,0,0,nan
296,1,0,0,0,0,0,0,0,0,0,nan
297,0,1,0,0,0,0,0,0,0,0,nan
298,0,1,0,0,0,0,0,0,0,0,nan
299,1,1,0,0,0,0,0,0,0,0,nan
300,0,0,0,1,0,0,0,0,0,0,nan
301,0,0,0,0,0,0,1,0,0,0,text
302,1,0,0,1,0,0,0,0,0,0,nan
303,0,1,0,0,0,0,0,0,0,0,nan
304,1,0,0,0,0,0,0,0,0,0,nan
305,0,1,0,0,0,0,0,0,0,0,nan
306,1,0,0,1,0,0,0,0,0,0,nan
307,1,0,0,0,0,0,0,0,0,0,nan
308,0,0,0,1,0,0,0,0,0,0,nan
309,0,1,0,0,0,0,0,0,0,0,nan
310,1,0,0,0,0,0,0,0,0,0,nan
311,0,0,0,1,0,0,0,0,0,0,nan
312,0,1,0,0,0,0,0,0,0,0,nan
313,1,0,0,1,0,0,0,0,0,0,nan
314,1,0,0,0,0,0,0,0,0,0,nan
315,0,0,0,1,0,0,0,0,0,0,nan
316,1,0,0,0,0,0,0,0,0,0,nan
317,0,0,0,1,0,0,0,0,0,0,nan
318,1,1,0,0,0,0,0,0,0,0,nan
319,1,0,0,1,0,0,0,0,0,0,nan
320,1,1,0,0,0,0,0,0,0,0,nan
321,1,0,0,0,0,0,0,0,0,0,nan
322,1,1,0,0,0,0,0,0,0,0,nan
323,0,0,0,1,0,0,0,0,0,0,nan
324,0,0,0,1,0,0,0,0,0,0,nan
325,0,0,0,1,0,0,0,0,0,0,nan
326,0,0,0,1,0,0,0,0,0,0,nan
327,0,1,0,0,0,0,0,0,0,0,nan
328,1,0,0,0,0,0,0,0,0,0,nan
329,0,0,0,1,0,0,0,0,0,0,nan
330,1,1,0,1,0,0,0,0,0,0,nan
331,1,0,0,0,0,0,0,0,0,0,nan
332,1,0,0,0,0,0,0,0,0,0,nan
333,0,1,0,0,0,0,0,0,0,0,nan
334,0,0,0,1,0,0,0,0,0,0,nan
335,0,1,0,1,0,0,0,0,0,0,nan
336,0,0,0,1,0,0,0,0,0,0,nan
337,1,0,0,1,0,0,0,0,0,0,nan
338,1,0,0,1,0,0,0,0,0,0,nan
339,1,0,0,0,0,0,0,0,0,0,nan
340,0,0,0,1,0,0,0,0,0,0,nan
341,0,1,0,0,0,0,0,0,0,0,nan
342,1,0,0,0,0,0,0,0,0,0,nan
343,0,0,0,1,0,0,0,0,0,0,nan
344,1,0,0,0,0,0,0,0,0,0,nan
345,1,0,0,0,0,0,0,0,0,0,nan
346,1,0,0,1,0,0,0,0,0,0,nan
347,0,1,0,0,0,0,0,0,0,0,nan
348,0,0,0,1,0,0,0,0,0,0,nan
349,1,1,0,0,0,0,0,0,0,0,nan
350,0,0,0,1,0,0,0,0,0,0,nan
351,1,0,0,0,0,0,0,0,0,0,nan
352,1,0,0,1,0,0,0,0,0,0,nan
353,1,1,0,0,0,0,0,0,0,0,nan
354,0,1,0,0,0,0,0,0,0,0,nan
355,0,0,0,0,0,1,0,0,0,0,nan
356,0,0,0,1,0,0,0,0,0,0,nan
357,1,0,0,0,0,0,0,0,0,0,nan
358,0,0,0,1,0,0,0,0,0,0,nan
359,0,0,0,1,0,0,0,0,0,0,nan
360,1,0,0,0,1,0,0,0,0,0,nan
361,1,0,0,0,0,0,0,0,0,0,nan
362,1,0,0,0,0,0,0,0,0,0,nan
363,0,1,0,0,0,0,0,0,0,0,nan
364,1,0,0,1,0,0,0,0,0,0,nan
365,1,0,0,0,0,0,0,0,0,0,nan
366,0,0,0,1,0,0,0,0,0,0,nan
367,1,0,0,0,0,0,0,0,0,0,nan
368,1,0,0,0,0,0,0,0,0,0,nan
369,1,0,0,0,0,0,0,0,0,0,nan
370,0,0,0,1,0,0,0,0,0,0,nan
371,0,1,0,1,0,0,0,0,0,0,nan
372,0,0,0,1,0,0,0,0,0,0,nan
373,1,0,0,0,0,0,0,0,0,0,nan
374,1,0,0,0,0,0,0,0,0,0,nan
375,1,0,0,0,0,0,0,0,0,0,nan
376,1,0,0,0,0,0,0,0,0,0,nan
377,1,0,0,0,0,0,0,0,0,0,nan
378,0,0,0,1,0,0,0,0,0,0,nan
379,1,1,0,0,0,0,0,0,0,0,nan
380,0,0,0,1,0,0,1,0,0,0,differing texts
381,0,0,0,1,0,0,0,0,0,0,nan
382,1,0,0,1,0,0,0,0,0,0,nan
383,0,0,0,1,0,0,0,0,0,0,nan
384,1,0,0,0,0,0,0,0,0,0,nan
385,1,1,0,0,0,0,0,0,0,0,nan
386,0,0,0,1,0,0,0,0,0,0,nan
387,1,0,0,1,0,0,0,0,0,0,nan
388,1,0,0,0,0,0,0,0,0,0,nan
389,0,1,0,0,0,0,0,0,0,0,nan
390,1,1,0,0,0,0,0,0,0,0,nan
391,1,1,0,0,0,0,0,0,0,0,nan
392,0,0,0,1,0,0,0,0,0,0,nan
393,1,0,0,1,0,0,0,0,0,0,nan
394,0,0,0,1,0,0,0,0,0,0,nan
395,0,0,0,1,0,0,0,0,0,0,nan
396,1,0,0,0,0,0,0,0,0,0,nan
397,1,0,0,0,0,0,0,0,0,0,nan
398,0,0,0,1,0,1,1,0,0,0,there is no queen but is that her baton? 
399,0,1,0,1,0,0,0,0,0,0,nan
400,0,0,0,0,1,0,0,0,0,0,nan
401,1,1,0,0,0,0,0,0,0,0,nan
402,0,1,0,0,0,0,0,0,0,0,nan
403,1,0,0,0,0,0,0,0,0,0,nan
404,1,0,0,0,0,0,0,0,0,0,nan
405,0,1,0,0,0,0,0,0,0,0,nan
406,0,0,0,1,0,0,0,0,0,0,nan
407,1,0,0,1,0,0,0,0,0,0,nan
408,1,0,0,0,0,0,0,0,0,0,nan
409,1,0,0,1,0,0,0,0,0,0,nan
410,0,0,0,0,0,1,0,0,0,0,nan
411,0,0,0,1,0,0,0,0,0,0,nan
412,1,0,0,1,0,0,0,0,0,0,nan
413,1,0,0,0,0,0,0,0,0,0,nan
414,0,1,0,0,0,0,0,0,0,0,nan
415,1,0,0,0,0,0,0,0,0,0,nan
416,1,0,0,0,0,0,0,0,0,0,nan
417,0,1,0,0,0,0,0,0,0,0,nan
418,1,0,0,0,0,0,0,0,0,0,nan
419,1,0,0,0,0,0,0,0,0,0,nan
420,0,1,0,1,0,0,0,0,0,0,nan
421,1,0,0,0,0,0,0,0,0,0,nan
422,0,1,0,0,0,0,0,0,0,0,nan
423,1,0,0,1,0,0,0,0,0,0,nan
424,1,0,0,0,0,0,0,0,0,0,nan
425,1,0,0,0,0,0,0,0,0,0,nan
426,1,0,0,0,0,0,0,0,0,0,nan
427,0,1,0,0,0,0,0,0,0,0,nan
428,0,0,0,1,0,0,0,0,0,0,nan
429,1,1,0,0,0,0,0,0,0,0,nan
430,1,0,0,0,0,0,0,0,0,0,nan
431,1,0,0,0,0,0,0,0,0,0,nan
432,0,0,0,1,0,0,0,0,0,0,nan
433,0,0,1,1,0,0,0,0,0,0,nan
434,1,0,0,1,0,0,0,0,0,0,nan
435,0,1,0,0,0,0,0,0,0,0,nan
436,1,0,0,0,0,0,0,0,0,0,nan
437,1,0,0,0,0,0,0,0,0,0,nan
438,1,0,1,0,0,0,0,0,0,0,nan
439,0,1,0,1,0,0,0,0,0,0,nan
440,1,1,0,0,0,0,0,0,0,0,nan
441,0,0,1,1,0,0,0,0,0,0,nan
442,1,0,0,0,0,0,0,0,0,0,nan
443,1,0,0,0,0,0,0,0,0,0,nan
444,0,0,1,0,0,0,0,0,0,0,nan
445,1,0,1,1,0,0,0,0,0,0,nan
446,1,1,0,0,0,0,0,0,0,0,nan
447,0,0,1,1,0,0,0,0,0,0,nan
448,1,0,0,0,0,0,0,0,0,0,nan
449,1,1,0,0,0,0,0,0,0,0,nan
450,0,0,1,1,0,0,0,0,0,0,nan
451,0,0,1,0,0,0,0,0,0,0,nan
452,1,0,1,0,1,0,0,0,0,0,nan
453,1,0,1,0,0,0,0,0,0,0,nan
454,0,0,1,0,0,1,1,0,0,0,football team should be volleyball team
455,0,0,1,1,0,0,0,0,0,0,nan
456,0,1,0,0,0,0,0,0,0,0,nan
457,1,0,0,0,0,0,0,0,0,0,nan
458,1,0,0,0,0,0,0,0,0,0,nan
459,1,0,0,0,0,0,0,0,0,0,nan
460,0,0,1,0,0,0,0,0,0,0,nan
461,0,0,1,1,0,0,0,0,0,0,nan
462,0,0,0,1,0,0,0,0,0,0,nan
463,1,0,0,0,0,0,0,0,0,0,nan
464,1,0,0,0,0,0,0,0,0,0,nan
465,1,0,0,0,0,0,0,0,0,0,nan
466,1,0,1,0,0,0,0,0,0,0,nan
467,0,0,0,1,0,0,0,0,0,0,nan
468,1,1,1,0,0,0,0,0,0,0,nan
469,0,1,0,0,0,0,1,0,0,0,text
470,1,0,0,0,0,0,0,0,0,0,nan
471,1,0,0,0,0,0,0,0,0,0,nan
472,1,0,1,0,0,0,0,0,0,0,nan
473,1,0,0,0,0,0,0,0,0,0,nan
474,1,1,1,0,0,0,0,0,0,0,nan
475,0,1,0,0,0,0,0,0,0,0,nan
476,1,0,0,0,0,0,0,0,0,0,nan
477,0,0,1,1,0,0,0,0,0,0,nan
478,1,0,1,0,0,0,0,0,0,0,nan
479,0,0,1,1,0,0,0,0,0,0,nan
480,1,0,0,1,0,0,0,0,0,0,nan
481,1,0,0,0,0,0,0,0,0,0,nan
482,1,0,1,0,0,0,0,0,0,0,nan
483,1,0,0,0,0,0,0,0,0,0,nan
484,1,0,1,0,0,0,0,0,0,0,nan
485,0,0,0,1,0,0,0,0,0,0,nan
486,1,0,0,0,0,0,0,0,0,0,nan
487,1,0,0,0,0,0,0,0,0,0,nan
488,1,0,0,0,0,0,0,0,0,0,nan
489,1,0,0,0,0,0,0,0,0,0,nan
490,1,0,0,0,0,0,0,0,0,0,nan
491,1,1,0,1,0,0,0,0,0,0,nan
492,0,0,0,1,0,0,0,0,0,0,nan
493,1,0,1,0,0,0,0,0,0,0,nan
494,1,0,0,0,0,0,0,0,0,0,nan
495,1,0,0,1,0,0,0,0,0,0,nan
496,1,0,0,0,0,0,0,0,0,0,nan
497,1,0,0,0,0,0,0,0,0,0,nan
498,1,0,0,0,0,0,0,0,0,0,nan
499,0,0,1,1,0,0,0,0,0,0,nan
500,1,0,0,0,0,0,0,0,0,0,nan
501,1,0,0,1,0,0,0,0,0,0,nan
502,1,0,0,0,0,0,0,0,0,0,nan
503,1,0,0,0,0,0,0,0,0,0,nan
504,0,0,0,1,0,0,0,0,0,0,nan
505,1,1,0,0,0,0,0,0,0,0,nan
506,1,0,0,0,0,0,0,0,0,0,nan
507,0,1,0,1,0,0,0,0,0,0,nan
508,0,0,1,1,0,0,0,0,0,0,nan
509,1,1,0,0,0,0,0,0,0,0,nan
510,1,0,0,0,0,0,0,0,0,0,nan
511,1,0,0,0,0,0,0,0,0,0,nan
512,0,0,0,1,0,0,0,0,0,0,nan
513,1,0,0,0,0,0,0,0,0,0,nan
514,1,0,1,0,0,0,0,0,0,0,nan
515,1,0,1,0,0,0,0,0,0,0,nan
516,1,1,0,0,0,0,0,0,0,0,nan
517,0,1,0,0,0,0,0,0,0,0,nan
518,1,0,0,0,0,0,0,0,0,0,nan
519,1,0,1,0,0,0,0,0,0,0,nan
520,1,0,0,0,0,0,0,0,0,0,nan
521,1,0,0,0,0,0,0,0,0,0,nan
522,1,0,0,0,0,0,0,0,0,0,nan
523,0,1,0,0,0,0,0,0,0,0,nan
524,1,0,0,0,0,0,0,0,0,0,nan
525,1,0,0,1,0,0,0,0,0,0,nan
526,0,0,0,1,0,0,0,0,0,0,nan
527,1,0,0,1,0,0,0,0,0,0,nan
528,0,1,0,0,0,0,0,0,0,0,nan
529,1,0,0,0,0,0,0,0,0,0,nan
530,1,0,0,0,0,0,0,0,0,0,nan
531,1,0,0,0,0,0,0,0,0,0,nan
532,1,0,0,0,0,0,0,0,0,0,nan
533,1,0,0,0,0,0,0,0,0,0,nan
534,1,0,0,0,0,0,0,0,0,0,nan
535,0,0,0,1,0,0,0,0,0,0,nan
536,0,0,0,1,0,0,0,0,0,0,nan
537,0,0,0,1,0,0,0,0,0,0,nan
538,1,0,1,0,0,0,0,0,0,0,nan
539,1,1,0,0,0,0,0,0,0,0,nan
540,0,0,0,1,0,0,0,0,0,0,nan
541,1,0,0,0,0,0,0,0,0,0,nan
542,1,0,0,0,0,0,0,0,0,0,nan
543,0,0,1,1,0,0,0,0,0,0,nan
544,1,0,0,0,0,0,0,0,0,0,nan
545,0,1,0,1,0,0,0,0,0,0,nan
546,1,0,0,0,0,0,0,0,0,0,nan
547,1,0,0,0,0,0,0,0,0,0,nan
548,1,0,0,0,0,0,0,0,0,0,nan
549,0,1,0,0,0,0,0,0,0,0,nan
550,0,0,0,1,0,0,0,0,0,0,nan
